#Wavelength	Counts	
747.85312	0.00000
747.85325	0.00000
747.85330	0.00000
747.85332	0.81967
747.85342	0.00000
747.85351	0.00000
747.85351	0.00000
747.85354	0.00000
747.85359	0.00000
747.85374	0.00000
747.85378	0.00000
747.85377	0.00000
747.85387	0.00000
747.85392	0.00000
747.85400	0.00000
747.85414	0.00000
747.85417	0.00000
747.85429	0.00000
747.85434	0.00000
747.85448	0.00000
747.85455	0.00000
747.85472	0.00000
747.85477	0.00000
747.85475	0.00000
747.85523	0.00000
747.85563	0.82305
747.85591	0.00000
747.85622	0.00000
747.85649	0.00000
747.85671	0.98039
747.85672	0.83333
747.85684	0.97561
747.85693	0.00000
747.85717	1.67364
747.85740	0.00000
747.85743	0.00000
747.85756	0.00000
747.85779	0.00000
747.85781	0.82305
747.85797	1.67364
747.85797	0.89286
747.83020	0.80972
747.85815	2.46914
747.83025	4.11523
747.85701	1.63265
747.85689	2.56410
747.85683	0.00000
747.85685	0.00000
747.85684	0.00000
747.85684	0.84746
747.85680	0.00000
747.85682	0.00000
747.85683	0.00000
747.85686	0.81967
747.85686	0.00000
747.85685	0.83682
747.85648	0.83333
747.85581	0.00000
747.85525	0.00000
747.85478	0.00000
747.85418	0.00000
747.85368	0.83333
747.85344	0.82988
747.85342	0.84034
747.85362	0.00000
747.85397	0.00000
747.85430	0.00000
747.85448	0.00000
747.85474	0.00000
747.85493	0.00000
747.85489	0.00000
747.85501	0.00000
747.85510	0.00000
747.85531	0.00000
747.85551	0.00000
747.85561	0.00000
747.85588	0.84746
747.85609	0.00000
747.85619	0.00000
747.85625	0.00000
747.85636	0.00000
747.85650	0.00000
747.85665	0.00000
747.85668	0.00000
747.85683	0.00000
747.85699	0.94340
747.85713	0.84034
747.85720	0.81967
747.85739	0.00000
747.85755	0.95694
747.85759	0.82988
747.85771	0.81967
747.85780	0.84034
747.85786	0.82645
747.85798	0.83333
747.85802	0.97087
747.85809	1.67364
747.85821	0.81633
747.85831	0.00000
747.85837	0.83333
747.85841	0.82305
747.85844	0.81633
747.85844	1.78571
747.85849	1.72414
747.85853	1.67364
747.85858	1.68776
747.85863	0.85470
747.85874	1.61290
747.85878	3.23887
747.85887	1.65289
747.85893	0.00000
747.85895	2.48963
747.85901	1.65975
747.85903	2.56410
747.85905	3.36134
747.85911	5.79710
747.85921	0.84388
747.85934	0.80972
747.85941	5.02092
747.85944	0.82988
747.85942	0.82645
747.85953	1.94175
747.85956	3.65297
747.85955	1.68067
747.85970	2.44898
747.85974	4.97925
747.85988	5.83333
747.85987	4.71698
747.85995	5.04202
747.86009	13.11475
747.86015	10.57692
747.86025	8.78049
747.86026	7.44186
747.86044	7.46888
747.86053	14.04959
747.86049	6.61157
747.86054	16.03774
747.86064	11.33603
747.86073	4.87805
747.86072	14.28571
747.86079	15.26104
747.86085	13.27801
747.86094	12.56039
747.86101	15.70248
747.86112	12.55230
747.86117	28.21577
747.86122	23.48178
747.86127	28.45188
747.86139	33.61345
747.86148	21.48760
747.86159	32.23140
747.86160	25.61983
747.86178	16.07143
747.86176	13.16872
747.86178	16.66667
747.86187	16.80672
747.86188	18.56540
747.86189	25.36585
747.86191	10.56911
747.86192	16.37931
747.86186	14.22594
747.86196	10.04184
747.86196	7.59494
747.86206	16.66667
747.86220	3.30579
747.86239	8.69565
747.86254	14.16667
747.86263	7.53138
747.86277	17.47573
747.86287	11.71548
747.86297	17.64706
747.86300	12.62136
747.86298	16.96429
747.86296	11.57025
747.86296	9.56522
747.86301	9.40171
747.86292	6.75105
747.86303	6.58436
747.86303	7.14286
747.86302	9.87654
747.86309	15.26104
747.86316	6.66667
747.86315	16.73640
747.86327	19.16667
747.86330	23.62869
747.86332	15.44715
747.86362	13.38912
747.86364	25.10460
747.86361	31.85841
747.86363	29.04564
747.86363	25.89286
747.86376	56.73077
747.86382	77.91165
747.86378	73.77049
747.86390	62.66094
747.86401	71.14625
747.86401	90.66667
747.86405	90.19608
747.86415	66.94561
747.86417	168.11594
747.86429	116.59919
747.86423	178.04878
747.86426	150.61728
747.86435	92.56198
747.86438	218.56540
747.86441	169.04762
747.86445	181.81818
747.86442	295.77465
747.86453	277.66990
747.86448	179.50820
747.86460	297.56098
747.86462	314.70588
747.86461	300.00000
747.86464	519.32773
747.86467	412.62136
747.86469	294.16667
747.86479	328.87029
747.86489	276.23318
747.86494	441.74757
747.86497	457.28155
747.86501	230.24390
747.86498	457.85124
747.86503	579.50820
747.86509	670.49180
747.86512	473.77049
747.86516	345.60669
747.86522	475.83333
747.86520	635.92233
747.86532	460.36036
747.86532	235.92233
747.86533	459.16667
747.86543	864.03941
747.86541	615.38462
747.86547	902.85714
747.86551	840.47619
747.86552	942.14876
747.86555	1336.66667
747.86557	1380.32787
747.86558	1293.82716
747.86566	2118.44660
747.86575	1500.40486
747.86585	1019.40928
747.86593	2041.84100
747.86599	1828.69198
747.86607	1951.85185
747.86615	1958.99582
747.86620	1768.03279
747.86621	2346.85990
747.86623	2649.27536
747.86623	2430.97345
747.86616	1937.73585
747.86619	2679.16667
747.86622	3124.16667
747.86622	3503.47826
747.86620	3094.90196
747.86622	2873.02905
747.86622	3248.51064
747.86627	4255.60976
747.86639	3006.76329
747.86654	2331.38075
747.86669	3064.28571
747.86667	2150.62762
747.86680	2218.48739
747.86689	1626.66667
747.86695	1760.19417
747.86695	1754.54545
747.86697	1604.14938
747.86701	1391.90283
747.86706	1268.85246
747.86710	1681.41593
747.86723	2037.50000
747.86721	2305.04202
747.86730	1406.63900
747.86734	1918.84058
747.86737	1395.12195
747.86753	2355.55556
747.86755	2548.95397
747.86761	2542.85714
747.86764	2765.10638
747.86772	2242.32365
747.86779	2486.19247
747.86790	1985.06224
747.86795	2063.10680
747.86800	2450.00000
747.86807	2364.60905
747.86818	3639.81481
747.86823	2631.06796
747.86830	2884.75836
747.86839	2675.84098
747.86859	4368.54839
747.86863	4916.90821
747.86873	4588.23529
747.86877	5283.90244
747.86881	6160.19417
747.86893	5740.00000
747.86897	6115.00000
747.86899	6136.88525
747.86911	3880.65844
747.86916	6213.76518
747.86931	6142.62948
747.86939	4602.89855
747.86950	6141.46341
747.86959	5440.19139
747.86973	4974.16667
747.86987	5221.66667
747.86986	3364.16667
747.86995	2807.82609
747.87006	3973.27935
747.87016	4884.08163
747.87022	3318.44660
747.87027	2754.43038
747.87040	4345.63107
747.87040	3085.33333
747.87042	3258.53659
747.87039	4827.46781
747.87034	4664.70588
747.87031	3832.92181
747.87030	4993.36100
